Municipality,County,Year,Total Residential Electricity,Total Residential Natural Gas
Aberdeen township,Monmouth,2015,58511214,5298920
Aberdeen township,Monmouth,2018,58693247,5596974
Aberdeen township,Monmouth,2019,57669637,5322271
Aberdeen township,Monmouth,2020,59539032,4952832
Aberdeen township,Monmouth,2021,61144726,5163106
Absecon city,Atlantic,2015,37043312,2739186
Absecon city,Atlantic,2016,35064773,2375988
Absecon city,Atlantic,2017,32920965,2366786
Absecon city,Atlantic,2018,35642558,2854823
Absecon city,Atlantic,2019,34315354,2661504
Absecon city,Atlantic,2020,34737469,2498445
Absecon city,Atlantic,2021,34951610,2566569
Allamuchy township,Warren,2015,20730321,1423922
Allamuchy township,Warren,2018,19826158,1814281
Allamuchy township,Warren,2019,19427553,1736972
Allamuchy township,Warren,2020,20289839,2392457
Allamuchy township,Warren,2021,20518656,3397057
Allendale borough,Bergen,2015,28346006,3623971
Allendale borough,Bergen,2016,28068829,3225860
Allendale borough,Bergen,2017,26736094,3387689
Allendale borough,Bergen,2018,28070368,3704200
Allendale borough,Bergen,2019,26663680,3597916
Allendale borough,Bergen,2020,28392440,3385514
Allendale borough,Bergen,2021,28222487,3481728
Allenhurst borough,Monmouth,2015,4924969,570346
Allenhurst borough,Monmouth,2018,5074239,559396
Allenhurst borough,Monmouth,2019,4903906,509360
Allenhurst borough,Monmouth,2020,5876198,516095
Allenhurst borough,Monmouth,2021,5832469,548612
Allentown borough,Monmouth,2015,6813249,581781
Allentown borough,Monmouth,2016,6715178,526532
Allentown borough,Monmouth,2017,6478881,518634
Allentown borough,Monmouth,2018,6931898,588438
Allentown borough,Monmouth,2019,6573025,555038
Allentown borough,Monmouth,2020,6653337,511123
Allentown borough,Monmouth,2021,6667524,528183
Alloway township,Salem,2015,12836529,5930
Alloway township,Salem,2016,12092878,5060
Alloway township,Salem,2017,11385483,8225
Alloway township,Salem,2018,11947390,9582
Alloway township,Salem,2019,11273602,9723
Alloway township,Salem,2020,11262278,13257
Alloway township,Salem,2021,11257923,13886
Alpha borough,Warren,2015,8296432,370134
Alpha borough,Warren,2018,8530872,480650
Alpha borough,Warren,2019,8113548,451569
Alpha borough,Warren,2020,8418490,678291
Alpha borough,Warren,2021,8601564,899881
Alpine borough,Bergen,2015,20969468,2374623
Alpine borough,Bergen,2016,20337317,2071571
Alpine borough,Bergen,2017,19628991,2196787
Alpine borough,Bergen,2018,20622830,2447848
Alpine borough,Bergen,2019,19779472,2349204
Alpine borough,Bergen,2020,20250252,2185929
Alpine borough,Bergen,2021,20207219,2249093
Andover township,Sussex,2015,26779192,241574
Andover township,Sussex,2018,26782568,311863
Andover township,Sussex,2019,26121779,311768
Andover township,Sussex,2020,26313608,444775
Andover township,Sussex,2021,27337283,635307
Asbury Park city,Monmouth,2015,35569874,3358743
Asbury Park city,Monmouth,2018,36249006,3356720
Asbury Park city,Monmouth,2019,35748039,3149354
Asbury Park city,Monmouth,2020,37662168,2500735
Asbury Park city,Monmouth,2021,39173387,2640599
Atlantic City city,Atlantic,2015,86034398,7092311
Atlantic City city,Atlantic,2016,82893821,6102499
Atlantic City city,Atlantic,2017,78345565,6005726
Atlantic City city,Atlantic,2018,84301307,6971380
Atlantic City city,Atlantic,2019,81804631,6479340
Atlantic City city,Atlantic,2020,84330462,6018090
Atlantic City city,Atlantic,2021,85512179,6414631
Atlantic Highlands borough,Monmouth,2015,19079600,1832611
Atlantic Highlands borough,Monmouth,2018,18846135,1834913
Atlantic Highlands borough,Monmouth,2019,18340452,1747913
Atlantic Highlands borough,Monmouth,2020,18621512,26745606
Atlantic Highlands borough,Monmouth,2021,19515498,28630901
Audubon borough,Camden,2015,29658636,2643585
Audubon borough,Camden,2016,29599862,2348922
Audubon borough,Camden,2017,27972784,2318137
Audubon borough,Camden,2018,30054121,2762056
Audubon borough,Camden,2019,28769429,2621218
Audubon borough,Camden,2020,29367624,2326222
Audubon borough,Camden,2021,29564402,2487276
Avalon borough,Cape May,2015,45374229,2938508
Avalon borough,Cape May,2016,45705449,2322403
Avalon borough,Cape May,2017,43378167,2518407
Avalon borough,Cape May,2018,49116767,3108814
Avalon borough,Cape May,2019,47925137,2858086
Avalon borough,Cape May,2020,51298904,2825477
Avalon borough,Cape May,2021,51146711,3189400
Avon-by-the-Sea borough,Monmouth,2015,9129031,1004215
Avon-by-the-Sea borough,Monmouth,2018,9651609,1033385
Avon-by-the-Sea borough,Monmouth,2019,9365969,963005
Avon-by-the-Sea borough,Monmouth,2020,9745025,886760
Avon-by-the-Sea borough,Monmouth,2021,9862470,949529
Barnegat Light borough,Ocean,2015,8410148,483884
Barnegat Light borough,Ocean,2016,8676055,441519
Barnegat Light borough,Ocean,2017,7960336,445112
Barnegat Light borough,Ocean,2018,8720206,547126
Barnegat Light borough,Ocean,2019,8793857,515699
Barnegat Light borough,Ocean,2020,8886798,494330
Barnegat Light borough,Ocean,2021,9658849,543028
Barnegat township,Ocean,2015,90430459,6968844
Barnegat township,Ocean,2016,18994373,6566464
Barnegat township,Ocean,2017,18134659,6190789
Barnegat township,Ocean,2018,90488088,7924747
Barnegat township,Ocean,2019,88051365,6912199
Barnegat township,Ocean,2020,91170458,7571289
Barnegat township,Ocean,2021,96140267,7288746
Barrington borough,Camden,2015,23285756,1753656
Barrington borough,Camden,2016,23151835,1564852
Barrington borough,Camden,2017,21915579,1530504
Barrington borough,Camden,2018,23174250,1806625
Barrington borough,Camden,2019,22682134,1723752
Barrington borough,Camden,2020,23008191,1531148
Barrington borough,Camden,2021,23450193,1670893
Bass River township,Burlington,2015,6209917,35573
Bass River township,Burlington,2016,5710903,94893
Bass River township,Burlington,2017,5292077,120333
Bass River township,Burlington,2018,5667876,154826
Bass River township,Burlington,2019,5306640,149121
Bass River township,Burlington,2020,5286017,5156719
Bass River township,Burlington,2021,5348701,5399448
Bay Head borough,Ocean,2015,9310200,986214
Bay Head borough,Ocean,2018,9760121,1044639
Bay Head borough,Ocean,2019,9812288,959164
Bay Head borough,Ocean,2020,10757738,929527
Bay Head borough,Ocean,2021,10996326,1003372
Bayonne city,Hudson,2015,144021980,16028881
Bayonne city,Hudson,2016,144706450,14141956
Bayonne city,Hudson,2017,138429717,14518636
Bayonne city,Hudson,2018,144992458,16545084
Bayonne city,Hudson,2019,139739936,15918239
Bayonne city,Hudson,2020,148912425,14658643
Bayonne city,Hudson,2021,152391139,15464873
Beach Haven borough,Ocean,2015,31330394,4015734
Beach Haven borough,Ocean,2016,31016013,772722
Beach Haven borough,Ocean,2017,29598734,822444
Beach Haven borough,Ocean,2018,33670680,1021251
Beach Haven borough,Ocean,2019,32688934,919456
Beach Haven borough,Ocean,2020,35437136,5735920
Beach Haven borough,Ocean,2021,35909217,6072626
Beachwood borough,Ocean,2015,38119804,2765044
Beachwood borough,Ocean,2018,37165268,2808574
Beachwood borough,Ocean,2019,35448256,2680560
Beachwood borough,Ocean,2020,36701859,3060168
Beachwood borough,Ocean,2021,37767637,3267868
Bedminster township,Somerset,2015,35533244,2435230
Bedminster township,Somerset,2018,33499671,2423717
Bedminster township,Somerset,2019,32141504,2227002
Bedminster township,Somerset,2020,32153525,2047687
Bedminster township,Somerset,2021,32591792,2168552
Belleville township,Essex,2015,85396024,9354901
Belleville township,Essex,2016,85558425,8648789
Belleville township,Essex,2017,81374124,8800576
Belleville township,Essex,2018,85818565,9850256
Belleville township,Essex,2019,82020195,9568076
Belleville township,Essex,2020,86045467,8735957
Belleville township,Essex,2021,85742128,8972137
Bellmawr borough,Camden,2015,37077187,2964220
Bellmawr borough,Camden,2016,36840636,2701825
Bellmawr borough,Camden,2017,34250625,2652419
Bellmawr borough,Camden,2018,36718769,3004297
Bellmawr borough,Camden,2019,35453213,2842167
Bellmawr borough,Camden,2020,35819381,2572545
Bellmawr borough,Camden,2021,35949713,2710112
Belmar borough,Monmouth,2015,25102315,2288819
Belmar borough,Monmouth,2018,25940314,2360308
Belmar borough,Monmouth,2019,25275979,2210594
Belmar borough,Monmouth,2020,26116057,2060301
Belmar borough,Monmouth,2021,27012138,2143132
Belvidere town,Warren,2015,10708059,168162
Belvidere town,Warren,2018,10263400,243984
Belvidere town,Warren,2019,10042320,264795
Belvidere town,Warren,2020,10442555,393685
Belvidere town,Warren,2021,10739574,606758
Bergenfield borough,Bergen,2015,69399008,7996343
Bergenfield borough,Bergen,2016,68297992,6679602
Bergenfield borough,Bergen,2017,65379208,7045148
Bergenfield borough,Bergen,2018,69316537,7912407
Bergenfield borough,Bergen,2019,65982982,7698067
Bergenfield borough,Bergen,2020,69714154,6997191
Bergenfield borough,Bergen,2021,69607368,7413450
Berkeley heights township,Union,2015,45279710,5374061
Berkeley heights township,Union,2018,44184184,5524462
Berkeley heights township,Union,2019,43152813,5208975
Berkeley heights township,Union,2020,44540918,4827906
Berkeley heights township,Union,2021,45712802,5052953
Berkeley township,Ocean,2015,166154977,17199365
Berkeley township,Ocean,2018,164739367,18208654
Berkeley township,Ocean,2019,160428204,17256292
Berkeley township,Ocean,2020,163915258,2086597
Berkeley township,Ocean,2021,167858591,2184635
Berlin borough,Camden,2015,42414229,2827050
Berlin borough,Camden,2016,40922364,2323964
Berlin borough,Camden,2017,38070789,2349720
Berlin borough,Camden,2018,40317981,2840145
Berlin borough,Camden,2019,38263178,2624544
Berlin borough,Camden,2020,38732969,2466146
Berlin borough,Camden,2021,39621541,2676318
Berlin township,Camden,2015,25968780,1240392
Berlin township,Camden,2016,24961810,1058634
Berlin township,Camden,2017,23443912,1099063
Berlin township,Camden,2018,24590830,1350248
Berlin township,Camden,2019,23533704,1288385
Berlin township,Camden,2020,24369421,1229278
Berlin township,Camden,2021,24683081,1336339
Bernards township,Somerset,2015,122053405,12056472
Bernards township,Somerset,2016,307,10126454
Bernards township,Somerset,2017,3894,10818478
Bernards township,Somerset,2018,117635311,12509388
Bernards township,Somerset,2019,112594466,11500471
Bernards township,Somerset,2020,116048774,10750280
Bernards township,Somerset,2021,118189716,11228257
Bernardsville borough,Somerset,2015,46525096,3694350
Bernardsville borough,Somerset,2018,45627415,4160902
Bernardsville borough,Somerset,2019,44305167,3974094
Bernardsville borough,Somerset,2020,45494525,3746546
Bernardsville borough,Somerset,2021,47713081,3913042
Bethlehem township,Hunterdon,2015,18432706,49272
Bethlehem township,Hunterdon,2018,18050552,59510
Bethlehem township,Hunterdon,2019,17703915,57423
Bethlehem township,Hunterdon,2020,18310856,88958
Bethlehem township,Hunterdon,2021,18929463,111974
Beverly city,Burlington,2015,7558424,759269
Beverly city,Burlington,2016,7488452,660412
Beverly city,Burlington,2017,7138858,663164
Beverly city,Burlington,2018,7675040,774465
Beverly city,Burlington,2019,7690253,744539
Beverly city,Burlington,2020,8003742,687125
Beverly city,Burlington,2021,8356868,762289
Bloomfield township,Essex,2015,116532042,13693302
Bloomfield township,Essex,2016,118775979,12322134
Bloomfield township,Essex,2017,113837552,12168106
Bloomfield township,Essex,2018,123279023,14574784
Bloomfield township,Essex,2019,115963803,13529380
Bloomfield township,Essex,2020,123275028,12774892
Bloomfield township,Essex,2021,124322084,13556831
Bloomingdale borough,Passaic,2015,128934,2385158
Bloomingdale borough,Passaic,2018,177551,2458974
Bloomingdale borough,Passaic,2019,158264,2348621
Bloomingdale borough,Passaic,2020,175673,2158695
Bloomingdale borough,Passaic,2021,176673,2266706
Bloomsbury borough,Hunterdon,2015,3900673,51271
Bloomsbury borough,Hunterdon,2018,3659542,71667
Bloomsbury borough,Hunterdon,2019,3534608,71188
Bloomsbury borough,Hunterdon,2020,3630511,107681
Bloomsbury borough,Hunterdon,2021,3837278,146786
Bogota borough,Bergen,2015,20180719,2409820
