Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2015,58511214,5298920
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2016,NDA,4612620
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2017,NDA,4866813
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2018,58693247,5596974
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2019,57669637,5322271
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2020,59539032,4952832
Aberdeen township,Monmouth,"Aberdeen township, Monmouth County",2021,61144726,5163106
Absecon city,Atlantic,"Absecon city, Atlantic County",2015,37043312,2739186
Absecon city,Atlantic,"Absecon city, Atlantic County",2016,35064773,2375988
Absecon city,Atlantic,"Absecon city, Atlantic County",2017,32920965,2366786
Absecon city,Atlantic,"Absecon city, Atlantic County",2018,35642558,2854823
Absecon city,Atlantic,"Absecon city, Atlantic County",2019,34315354,2661504
Absecon city,Atlantic,"Absecon city, Atlantic County",2020,34737469,2498445
Absecon city,Atlantic,"Absecon city, Atlantic County",2021,34951610,2566569
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2015,23711407,NDA
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2016,NDA,NDA
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2017,NDA,NDA
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2018,24194813,NDA
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2019,23397455,NDA
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2020,24097340,NDA
Alexandria township,Hunterdon,"Alexandria township, Hunterdon County",2021,24574772,NDA
Allamuchy township,Warren,"Allamuchy township, Warren County",2015,20730321,1423922
Allamuchy township,Warren,"Allamuchy township, Warren County",2016,NDA,1453969
Allamuchy township,Warren,"Allamuchy township, Warren County",2017,NDA,1573053
Allamuchy township,Warren,"Allamuchy township, Warren County",2018,19826158,1814281
Allamuchy township,Warren,"Allamuchy township, Warren County",2019,19427553,1736972
Allamuchy township,Warren,"Allamuchy township, Warren County",2020,20289839,2392457
Allamuchy township,Warren,"Allamuchy township, Warren County",2021,20518656,3397057
Allendale borough,Bergen,"Allendale borough, Bergen County",2015,28346006,3623971
Allendale borough,Bergen,"Allendale borough, Bergen County",2016,28068829,3225860
Allendale borough,Bergen,"Allendale borough, Bergen County",2017,26736094,3387689
Allendale borough,Bergen,"Allendale borough, Bergen County",2018,28070368,3704200
Allendale borough,Bergen,"Allendale borough, Bergen County",2019,26663680,3597916
Allendale borough,Bergen,"Allendale borough, Bergen County",2020,28392440,3385514
Allendale borough,Bergen,"Allendale borough, Bergen County",2021,28222487,3481728
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2015,4924969,570346
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2016,NDA,452328
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2017,NDA,485390
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2018,5074239,559396
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2019,4903906,509360
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2020,5876198,516095
Allenhurst borough,Monmouth,"Allenhurst borough, Monmouth County",2021,5832469,548612
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2015,6813249,581781
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2016,6715178,526532
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2017,6478881,518634
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2018,6931898,588438
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2019,6573025,555038
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2020,6653337,511123
Allentown borough,Monmouth,"Allentown borough, Monmouth County",2021,6667524,528183
Alloway township,Salem,"Alloway township, Salem County",2015,12836529,5930
Alloway township,Salem,"Alloway township, Salem County",2016,12092878,5060
Alloway township,Salem,"Alloway township, Salem County",2017,11385483,8225
Alloway township,Salem,"Alloway township, Salem County",2018,11947390,9582
Alloway township,Salem,"Alloway township, Salem County",2019,11273602,9723
Alloway township,Salem,"Alloway township, Salem County",2020,11262278,13257
Alloway township,Salem,"Alloway township, Salem County",2021,11257923,13886
Alpha borough,Warren,"Alpha borough, Warren County",2015,8296432,370134
Alpha borough,Warren,"Alpha borough, Warren County",2016,NDA,383379
Alpha borough,Warren,"Alpha borough, Warren County",2017,NDA,412904
Alpha borough,Warren,"Alpha borough, Warren County",2018,8530872,480650
Alpha borough,Warren,"Alpha borough, Warren County",2019,8113548,451569
Alpha borough,Warren,"Alpha borough, Warren County",2020,8418490,678291
Alpha borough,Warren,"Alpha borough, Warren County",2021,8601564,899881
Alpine borough,Bergen,"Alpine borough, Bergen County",2015,20969468,2374623
Alpine borough,Bergen,"Alpine borough, Bergen County",2016,20337317,2071571
Alpine borough,Bergen,"Alpine borough, Bergen County",2017,19628991,2196787
Alpine borough,Bergen,"Alpine borough, Bergen County",2018,20622830,2447848
Alpine borough,Bergen,"Alpine borough, Bergen County",2019,19779472,2349204
Alpine borough,Bergen,"Alpine borough, Bergen County",2020,20250252,2185929
Alpine borough,Bergen,"Alpine borough, Bergen County",2021,20207219,2249093
Andover borough,Sussex,"Andover borough, Sussex County",2015,3079803,NDA
Andover borough,Sussex,"Andover borough, Sussex County",2016,NDA,NDA
Andover borough,Sussex,"Andover borough, Sussex County",2017,NDA,NDA
Andover borough,Sussex,"Andover borough, Sussex County",2018,3009104,NDA
Andover borough,Sussex,"Andover borough, Sussex County",2019,3083341,NDA
Andover borough,Sussex,"Andover borough, Sussex County",2020,3151387,NDA
Andover borough,Sussex,"Andover borough, Sussex County",2021,3231995,NDA
Andover township,Sussex,"Andover township, Sussex County",2015,26779192,241574
Andover township,Sussex,"Andover township, Sussex County",2016,NDA,245858
Andover township,Sussex,"Andover township, Sussex County",2017,NDA,270606
Andover township,Sussex,"Andover township, Sussex County",2018,26782568,311863
Andover township,Sussex,"Andover township, Sussex County",2019,26121779,311768
Andover township,Sussex,"Andover township, Sussex County",2020,26313608,444775
Andover township,Sussex,"Andover township, Sussex County",2021,27337283,635307
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2015,35569874,3358743
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2016,NDA,2862536
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2017,NDA,2982724
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2018,36249006,3356720
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2019,35748039,3149354
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2020,37662168,2500735
Asbury Park city,Monmouth,"Asbury Park city, Monmouth County",2021,39173387,2640599
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2015,86034398,7092311
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2016,82893821,6102499
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2017,78345565,6005726
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2018,84301307,6971380
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2019,81804631,6479340
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2020,84330462,6018090
Atlantic City city,Atlantic,"Atlantic City city, Atlantic County",2021,85512179,6414631
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2015,19079600,1832611
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2016,NDA,1515498
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2017,NDA,1629901
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2018,18846135,1834913
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2019,18340452,1747913
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2020,18621512,26745606
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth County",2021,19515498,28630901
Audubon borough,Camden,"Audubon borough, Camden County",2015,29658636,2643585
Audubon borough,Camden,"Audubon borough, Camden County",2016,29599862,2348922
Audubon borough,Camden,"Audubon borough, Camden County",2017,27972784,2318137
Audubon borough,Camden,"Audubon borough, Camden County",2018,30054121,2762056
Audubon borough,Camden,"Audubon borough, Camden County",2019,28769429,2621218
Audubon borough,Camden,"Audubon borough, Camden County",2020,29367624,2326222
Audubon borough,Camden,"Audubon borough, Camden County",2021,29564402,2487276
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2015,NDA,NDA
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2016,NDA,NDA
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2017,NDA,NDA
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2018,NDA,NDA
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2019,NDA,NDA
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2020,NDA,NDA
Audubon Park borough,Camden,"Audubon Park borough, Camden County",2021,NDA,NDA
Avalon borough,Cape May,"Avalon borough, Cape May County",2015,45374229,2938508
Avalon borough,Cape May,"Avalon borough, Cape May County",2016,45705449,2322403
Avalon borough,Cape May,"Avalon borough, Cape May County",2017,43378167,2518407
Avalon borough,Cape May,"Avalon borough, Cape May County",2018,49116767,3108814
Avalon borough,Cape May,"Avalon borough, Cape May County",2019,47925137,2858086
Avalon borough,Cape May,"Avalon borough, Cape May County",2020,51298904,2825477
Avalon borough,Cape May,"Avalon borough, Cape May County",2021,51146711,3189400
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2015,9129031,1004215
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2016,NDA,854079
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2017,NDA,889911
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2018,9651609,1033385
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2019,9365969,963005
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2020,9745025,886760
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth County",2021,9862470,949529
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2015,8410148,483884
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2016,8676055,441519
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2017,7960336,445112
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2018,8720206,547126
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2019,8793857,515699
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2020,8886798,494330
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean County",2021,9658849,543028
Barnegat township,Ocean,"Barnegat township, Ocean County",2015,90430459,6968844
Barnegat township,Ocean,"Barnegat township, Ocean County",2016,18994373,6566464
Barnegat township,Ocean,"Barnegat township, Ocean County",2017,18134659,6190789
Barnegat township,Ocean,"Barnegat township, Ocean County",2018,90488088,7924747
Barnegat township,Ocean,"Barnegat township, Ocean County",2019,88051365,6912199
Barnegat township,Ocean,"Barnegat township, Ocean County",2020,91170458,7571289
Barnegat township,Ocean,"Barnegat township, Ocean County",2021,96140267,7288746
Barrington borough,Camden,"Barrington borough, Camden County",2015,23285756,1753656
Barrington borough,Camden,"Barrington borough, Camden County",2016,23151835,1564852
Barrington borough,Camden,"Barrington borough, Camden County",2017,21915579,1530504
Barrington borough,Camden,"Barrington borough, Camden County",2018,23174250,1806625
Barrington borough,Camden,"Barrington borough, Camden County",2019,22682134,1723752
Barrington borough,Camden,"Barrington borough, Camden County",2020,23008191,1531148
Barrington borough,Camden,"Barrington borough, Camden County",2021,23450193,1670893
Bass River township,Burlington,"Bass River township, Burlington County",2015,6209917,35573
Bass River township,Burlington,"Bass River township, Burlington County",2016,5710903,94893
Bass River township,Burlington,"Bass River township, Burlington County",2017,5292077,120333
Bass River township,Burlington,"Bass River township, Burlington County",2018,5667876,154826
Bass River township,Burlington,"Bass River township, Burlington County",2019,5306640,149121
Bass River township,Burlington,"Bass River township, Burlington County",2020,5286017,5156719
Bass River township,Burlington,"Bass River township, Burlington County",2021,5348701,5399448
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2015,9310200,986214
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2016,NDA,810928
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2017,NDA,868343
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2018,9760121,1044639
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2019,9812288,959164
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2020,10757738,929527
Bay Head borough,Ocean,"Bay Head borough, Ocean County",2021,10996326,1003372
Bayonne city,Hudson,"Bayonne city, Hudson County",2015,144021980,16028881
Bayonne city,Hudson,"Bayonne city, Hudson County",2016,144706450,14141956
Bayonne city,Hudson,"Bayonne city, Hudson County",2017,138429717,14518636
Bayonne city,Hudson,"Bayonne city, Hudson County",2018,144992458,16545084
Bayonne city,Hudson,"Bayonne city, Hudson County",2019,139739936,15918239
Bayonne city,Hudson,"Bayonne city, Hudson County",2020,148912425,14658643
Bayonne city,Hudson,"Bayonne city, Hudson County",2021,152391139,15464873
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2015,31330394,4015734
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2016,31016013,772722
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2017,29598734,822444
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2018,33670680,1021251
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2019,32688934,919456
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2020,35437136,5735920
Beach Haven borough,Ocean,"Beach Haven borough, Ocean County",2021,35909217,6072626
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2015,38119804,2765044
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2016,NDA,2392286
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2017,NDA,2525068
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2018,37165268,2808574
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2019,35448256,2680560
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2020,36701859,3060168
Beachwood borough,Ocean,"Beachwood borough, Ocean County",2021,37767637,3267868
Bedminster township,Somerset,"Bedminster township, Somerset County",2015,35533244,2435230
Bedminster township,Somerset,"Bedminster township, Somerset County",2016,NDA,1982580
Bedminster township,Somerset,"Bedminster township, Somerset County",2017,NDA,2110636
Bedminster township,Somerset,"Bedminster township, Somerset County",2018,33499671,2423717
Bedminster township,Somerset,"Bedminster township, Somerset County",2019,32141504,2227002
Bedminster township,Somerset,"Bedminster township, Somerset County",2020,32153525,2047687
Bedminster township,Somerset,"Bedminster township, Somerset County",2021,32591792,2168552
Belleville township,Essex,"Belleville township, Essex County",2015,85396024,9354901
